notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
TWRCK6,E24 Physical Human Made Thing,E24 Physical Human Made Thing,,This class comprises all persistent physical items of any size that are purposely created by human activity.,Class,,E54Q7Z,,CIDOC-CRM v7.1.3,,macheco:F-TWRCK6,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing,,,,,,,
VT14KK,E22 Human Made Object,E22 Human Made Object,,This class comprises all persistent physical objects of any size that are purposely created by human activity and have physical boundaries that separate them completely in an objective way from other objects.,Class,,TWRCK6,,CIDOC-CRM v7.1.3,,macheco:F-VT14KK,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,,,,,,,
AUI6OG,E25 Human Made Feature,E25 Human Made Feature,,"his class comprises physical features that are purposely created by human activity, such as scratches, artificial caves, artificial water channels, etc.",Class,,TWRCK6,,CIDOC-CRM v7.1.3,,macheco:F-AUI6OG,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E25_Human-Made_Feature,,,,,,,
VQZ4BM,E18 Physical Thing,E18 Physical Thing,,"This class comprises all persistent physical items with a relatively stable form, human-made or natural.",Class,,PKXD5U,,CIDOC-CRM v7.1.3,,macheco:F-VQZ4BM,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing,,,,,,,
KAQF00,E19 Physical Object,E19 Physical Object,,This class comprises items of a material nature that are units for documentation and have physical boundaries that separate them completely in an objective way from other objects.,Class,,VQZ4BM,,CIDOC-CRM v7.1.3,,macheco:F-KAQF00,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E19_Physical_Object,,,,,,,
PK5RI8,E20 Biologial Object,E20 Biologial Object,,"This class comprises individual items of a material nature, which live, have lived, or are natural products of or from living organisms.",Class,,KAQF00,,CIDOC-CRM v7.1.3,,macheco:F-PK5RI8,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E20_Biological_Object,,,,,,,
IAUKDD,E41 Appellation,E41 Appellation,,"This class comprises all signs, either meaningful or not, or arrangements of signs following a specific syntax, that are used or can be used to refer to and identify a specific instance of some class within a certain context.",Class,,E54Q7Z,,CIDOC-CRM v7.1.3,,macheco:F-IAUKDD,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E41_Appellation,,,,,,,
FA2GRP,E55 Type,E55 Type,,This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to characterize and classify instances of CIDOC CRM classes.,Class,,E54Q7Z,,CIDOC-CRM v7.1.3,,macheco:F-FA2GRP,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E55_Type,,,,,,,
NCWZ6Q,E73 Information Object,E73 Information Object,,"This class comprises identifiable immaterial items, such as poems, jokes, data sets, images, texts, multimedia objects, procedural prescriptions, computer program code, algorithm or mathematical formulae, that have an objectively recognizable structure and are documented as single units.",Class,,PKXD5U,,CIDOC-CRM v7.1.3,,macheco:F-NCWZ6Q,,,,,,,,,,,,,,,
T4WUQ4,E57 Material,E57 Material,,This class is a specialization of E55 Type and comprises the concepts of materials.,Class,,FA2GRP,,CIDOC-CRM v7.1.3,,macheco:F-T4WUQ4,,,,,,,,http://www.cidoc-crm.org/cidoc-crm/E57_Material,,,,,,,
EEC3OY,D1 Digital Object,D1 Digital Object,,"This class comprises identifiable immaterial items that can be represented as sets of bit sequences, such as data sets, e-texts, images, audio or video items, software, etc., and are documented as single units.",Class,,NCWZ6Q,,CRMdig v3.2.1,,macheco:F-EEC3OY,,,,,,,,,,,,,,,
BMANTK,D2 Digitization Process,D2 Digitization Process,,"This class comprises events that result in the creation of instances of D9 Data Object that represent the appearance and/or form of an instance of E18 Physical Thing such as paper documents, statues, buildings, paintings, etc.",Class,,XNDA95,,CRMdig v3.2.1,,macheco:F-BMANTK,,,,,,,,,,,,,,,
M3UTNZ,E7 Digital Machine Event,E7 Digital Machine Event,,This class comprises events that happen on physical digital devices following a human activity that intentionally caused its immediate or delayed initiation and results in the creation of a new instance of D1 Digital Object on behalf of the human actor.,Class,,XNDA95,,CRMdig v3.2.1,,macheco:F-M3UTNZ,,,,,,,,,,,,,,,
KDAWCF,D9 Data Object,D9 Data Object,,This class comprises events that happen on physical digital devices following a human activity that intentionally caused its immediate or delayed initiation and results in the creation of a new instance of D1 Digital Object on behalf of the human actor.,Class,,NCWZ6Q,,CRMdig v3.2.1,,macheco:F-KDAWCF,,,,,,,,,,,,,,,
E9RPOU,D10 Software Execution,D10 Software Execution,,This class comprises events that happen on physical digital devices following a human activity that intentionally caused its immediate or delayed initiation and results in the creation of a new instance of D1 Digital Object on behalf of the human actor.,Class,,XNDA95,,CRMdig v3.2.1,,macheco:F-E9RPOU,,,,,,,,,,,,,,,
OK66T3,D13 Digital Information Carrier,D13 Digital Information Carrier,,"This class comprises all instances of E84 Information Carrier that are explicitly designed to be used as persistent digital physical carriers of instances of D1 Digital Object. A D13 Digital Information Carrier may or may not contain information, e.g., an empty diskette.",Class,,VQZ4BM,,CRMdig v3.2.1,,macheco:F-OK66T3,,,,,,,,,,,,,,,
Y12LLC,D14 Software,D14 Software,,"This class comprises software codes, computer programs, procedures and functions that are used to operate a system of digital objects.",Class,,EEC3OY,,CRMdig v3.2.1,,macheco:F-Y12LLC,,,,,,,,,,,,,,,
LW2J1W,E84 Information Carrier,E84 Information Carrier,,This class comprises all instances of E22 Man-Made Object that are explicitly designed to act as persistent physical carriers for instances of E73 Information Object.,Class,,VT14KK,deprecated in newer CIDOC-CRM versions,CIDOC-CRM v6.2.1,,macheco:F-LW2J1W,,,,,,,,,,,,,,,
O8UZ2A,Entity (PROV),Entity (PROV),,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",Class,,DGSLS7,,W3C Recommendation 30 Apr 2013,,macheco:F-O8UZ2A,,,,,,,,http://www.w3.org/ns/prov#Entitiy,,,,,,,
KXB3YB,Activity (PROV),Activity (PROV),,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",Class,,XNDA95,,W3C Recommendation 30 Apr 2013,,macheco:F-KXB3YB,,,,,,,,http://www.w3.org/ns/prov#Activity,,,,,,,
UD7DTU,Agent (PROV),Agent (PROV),,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity.",Class,,DGSLS7,can be a human or software,W3C Recommendation 30 Apr 2013,,macheco:F-UD7DTU,,,,,,,,http://www.w3.org/ns/prov#Agent,,,,,,,
XOOXXY,information content entity (BFO / IAO),information content entity (NFDIcore),,An information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity.,Class,,DGSLS7,,BFO / IAO,,macheco:F-XOOXXY,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000030,,,,,,,
AVVZYP,Resource (DCAT),Resource (DCAT),,"dcat:Resource represents a dataset, a data service or any other resource that may be described by a metadata record in a catalog.",Class,,XOOXXY,,DCACT v3,,macheco:F-AVVZYP,,,,,,,,http://www.w3.org/ns/dcat#Resource,,,,,,,
